po_id,po_number,buyer_id,reciept_date,item_id,warehouse_id,qty_ordered,qty_received,rating
1,86064,671,2022-01-03,205,322,227,224,5
2,87687,436,2022-01-12,101,396,404,403,5
3,39626,679,2022-03-07,137,944,116,113,4
4,30937,609,2020-08-31,131,838,426,425,3
5,36797,729,2018-04-16,148,332,431,427,4
6,74381,982,2021-01-27,156,848,415,414,2
7,27444,942,2022-07-18,105,895,206,202,5
8,17312,307,2021-03-02,133,451,159,157,4
9,55525,743,2023-07-22,182,249,193,191,3
10,95546,993,2023-10-30,198,955,101,101,2
11,64392,390,2021-09-06,111,332,408,406,5
12,15941,215,2018-04-04,205,680,133,131,1
13,39870,318,2021-09-12,145,318,298,295,3
14,89862,591,2018-11-25,180,431,90,87,1
15,29046,501,2020-09-01,207,725,80,77,1
16,60442,670,2020-01-12,142,582,284,282,2
17,52617,835,2019-05-20,219,530,248,248,3
18,99749,474,2018-11-22,107,378,212,212,2
19,15654,993,2018-09-20,209,624,419,417,5
20,67947,953,2019-03-21,140,884,240,239,4
21,75872,995,2020-09-23,140,339,368,368,4
22,46717,868,2023-08-10,196,605,137,135,2
23,18199,602,2021-03-13,178,764,237,234,1
24,33508,474,2019-07-23,110,769,401,400,4
25,41486,356,2019-12-26,198,711,436,436,4
26,84448,835,2021-04-16,165,449,281,279,2
27,60362,698,2018-02-05,190,830,418,417,3
28,58144,868,2020-01-16,131,424,78,78,4
29,42425,573,2022-01-11,159,858,220,216,5
30,75483,763,2019-02-19,175,379,439,438,5
31,60419,437,2019-09-25,219,521,208,205,4
32,80302,797,2023-04-06,180,770,179,178,4
33,34445,628,2020-12-27,150,834,433,432,3
34,59667,325,2020-11-23,203,869,352,351,1
35,58616,378,2019-11-22,148,854,323,322,3
36,84099,983,2021-06-12,217,525,137,133,1
37,30127,913,2020-10-31,110,777,155,154,4
38,23397,493,2019-12-25,161,293,198,196,1
39,72046,309,2023-09-21,183,379,179,175,3
40,11493,989,2021-09-08,180,928,157,153,4
41,35952,253,2023-09-21,179,558,407,406,1
42,60725,300,2020-10-26,114,326,319,315,2
43,48407,806,2019-04-16,166,986,76,72,5
44,80005,868,2022-01-15,103,264,147,144,2
45,47286,952,2019-12-06,144,829,253,253,1
46,77810,846,2022-07-25,198,593,181,177,3
47,25475,578,2020-03-07,137,844,81,78,3
48,78625,240,2023-12-13,119,232,293,292,2
49,76053,880,2019-12-29,162,489,152,148,4
50,78403,356,2019-10-26,169,725,147,143,1
51,34585,869,2022-05-30,171,587,136,133,5
52,66638,468,2020-01-26,150,525,208,204,4
53,12698,548,2020-08-23,180,912,91,91,2
54,78323,302,2023-06-03,218,561,256,254,1
55,41467,522,2018-11-24,191,618,326,326,4
