so_id,invoice_id,cust_id,rep_id,item_id,qty,disc_per,status,pay_id,booked_date,shipped_date,invoice_date,promise_date,needby_date
1,510274,211,29,176,547,8,cancelled,11,2023-04-15,,,2023-11-22,2023-12-06
2,510274,431,136,162,870,7,shipped,3,2020-01-28,2022-01-26,2022-07-12,2021-12-26,2022-09-30
3,510275,311,2,103,207,6,closed,1,2023-11-29,2023-12-11,2023-12-17,2023-12-17,2023-11-30
4,510293,498,108,206,856,4,cancelled,2,2019-05-17,,,2021-09-23,2022-08-07
5,510298,700,196,220,656,6,shipped,8,2021-04-24,2022-01-08,2023-12-17,2022-07-15,2023-02-24
6,510264,404,151,149,787,2,cancelled,5,2023-09-27,,,2023-12-20,2023-10-18
7,510305,205,133,191,227,5,open,1,2021-07-20,2023-08-08,2023-01-26,2022-02-18,2022-11-08
8,510263,502,104,103,745,3,closed,11,2023-09-24,2023-10-28,2023-12-12,2023-11-10,2023-10-08
9,510278,801,71,106,625,2,closed,9,2022-09-30,2023-06-13,2023-07-03,2023-10-28,2023-10-09
10,510287,551,41,160,706,5,open,9,2022-12-04,2023-07-15,2023-11-24,2023-02-21,2023-01-02
11,510296,903,185,132,513,5,open,2,2023-08-23,2023-12-26,2023-11-12,2023-11-20,2023-12-29
12,510285,434,97,136,705,1,shipped,10,2019-02-18,2020-08-03,2022-02-05,2022-04-08,2023-01-08
13,510277,361,65,217,539,1,open,4,2020-06-06,2021-09-29,2023-07-18,2020-10-25,2023-08-05
14,510262,907,179,180,474,5,cancelled,8,2019-07-22,,,2020-10-30,2019-10-14
15,510286,507,95,209,209,10,shipped,12,2021-10-24,2022-10-02,2022-09-13,2023-12-09,2023-08-29
16,510299,753,192,112,803,6,cancelled,8,2021-01-25,,,2021-06-02,2021-05-03
17,510305,596,164,193,227,3,closed,4,2020-04-11,2021-04-26,2022-07-02,2021-10-15,2023-01-05
18,510268,828,33,206,266,6,shipped,8,2020-07-19,2020-09-30,2020-08-05,2022-09-10,2022-08-29
19,510269,760,154,131,396,10,closed,6,2020-05-13,2020-10-03,2021-07-15,2022-08-31,2020-09-03
20,510267,763,148,139,305,10,shipped,4,2023-11-20,2023-12-18,2023-12-06,2023-11-21,2023-12-29
21,510266,985,7,199,542,2,shipped,8,2019-06-11,2020-03-24,2019-12-29,2021-05-30,2020-12-11
22,510297,741,59,124,294,9,cancelled,1,2022-07-13,,,2022-07-30,2023-02-04
23,510269,533,5,123,782,10,cancelled,8,2020-11-28,,,2023-01-15,2020-12-21
24,510274,503,94,101,519,4,shipped,3,2020-02-21,2020-12-30,2021-12-31,2022-12-10,2021-01-27
